Genome	B52.sorted Relative Abundance (%)	B63.sorted Relative Abundance (%)	B65.sorted Relative Abundance (%)	PM62.sorted Relative Abundance (%)	PM63.sorted Relative Abundance (%)	PM65.sorted Relative Abundance (%)
unmapped	13.729119	62.59566	26.57627	80.18725	97.59443	100
binsanity_-kmean-bin_18	74.54612	18.58535	9.92946	0	0	0
93	0.09506863	1.9983994	0.81545186	0	0	0
maxbin.046	0	5.719462	0.022122381	0	0	0
135	0	0	2.693262	0	0	0
6098	0	0.8444165	0	0	0	0
11_sub	0.038042612	0	2.6046019	0	0	0
maxbin.003	6.383148	0	0	0	0	0
116	0.2471905	0	1.5539764	0	0	0
34	0	0	8.208014	0	0	0
Metabat2_firsttrial_.62	4.0064516	0	0	0	0	0
124	0	0	9.578988	0	0	0
114_sub	0.7281863	0.24323606	0.506057	0	0	0
136	0	0	0	2.884394	0	0
92	0	0	1.3731935	0	0	0
51	0	2.3752372	15.255927	0	0	0
Metabat2_firsttrial_.7	0	2.2385106	0	0	0	0
73	0.020857004	0	0.90718955	0	0	0
14	0	0	0	1.1710562	0	0
Metabat2_firsttrial_.38	0	0	0	0.043561704	2.405574	0
Metabat2_secondtrial_.83	0	4.2122726	0.012693206	0	0	0
maxbin.017	0.054895274	0.27106774	0.96583587	0	0	0
maxbin.018_sub	0.13619502	0.916389	9.179908	0	0	0
6087	0.014726146	0	4.197312	0	0	0
Metabat2_firsttrial_.12	0	0	5.61974	0	0	0
42	0	0	0	15.713741	0	0